
Gurobi 11.0.3 (linux64) logging started Mon Aug 25 15:11:01 2025

Set parameter LogFile to value "/home/yihong/Coding/OR_SUC/SUC_epstheta_results_bigM100000_thread4/case24_ieee_rts_theta0.1_epsilon0.1_gurobi_seed200000_num_gen100_N_WDR50_load_scaling_factor1_proposed_theta_T14quadra_cost_bc1.03.txt"
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64 - "Ubuntu 20.04.6 LTS")

CPU model: AMD EPYC 7532 32-Core Processor, instruction set [SSE2|AVX|AVX2]
Thread count: 64 physical cores, 128 logical processors, using up to 4 threads

Academic license 2399124 - for non-commercial use only - registered to yi___@ed.ac.uk
Optimize a model with 33318 rows, 17411 columns and 766758 nonzeros
Model fingerprint: 0x0fa47dd6
Model has 1400 quadratic constraints
Variable types: 16011 continuous, 1400 integer (1400 binary)
Coefficient statistics:
  Matrix range     [3e-04, 2e+03]
  QMatrix range    [2e-03, 8e-03]
  QLMatrix range   [6e-01, 6e+01]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 9e+03]
Presolve removed 27340 rows and 7481 columns
Presolve time: 0.27s
Presolved: 5978 rows, 9930 columns, 33335 nonzeros
Presolved model has 1400 quadratic constraint(s)
Variable types: 8530 continuous, 1400 integer (1400 binary)

Root relaxation: objective 1.669033e+04, 4887 iterations, 0.19 seconds (0.17 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 16690.3265    0    -          - 16690.3265      -     -    0s
     0     0 182969.829    0  418          - 182969.829      -     -    1s
     0     0 339265.839    0  314          - 339265.839      -     -    1s
     0     0 339279.134    0  191          - 339279.134      -     -    1s
     0     0 339423.358    0  104          - 339423.358      -     -    1s
     0     0 339429.409    0  104          - 339429.409      -     -    1s
     0     0 339429.409    0  104          - 339429.409      -     -    1s
     0     0 339430.119    0  104          - 339430.119      -     -    1s
     0     2 339430.119    0  104          - 339430.119      -     -    2s
   228   288 339456.503   55    1          - 339445.784      -  21.3    5s
   400   381 341100.264   39   83          - 339445.784      -  20.8   27s
   596   530 339445.784   37   47          - 339445.784      -  57.2   30s
  1181   899 339456.880   67    -          - 339446.126      -  65.4   35s
  1897  1507 340315.524   59    1          - 339446.126      -  54.4   40s
  2541  2044 339565.594   19   37          - 339446.126      -  50.8   45s
  3412  2953 339706.311   80    -          - 339446.126      -  47.5   50s
  4652  4034 339734.037   65    -          - 339446.126      -  44.1   55s
  5564  4855 339689.651   70    -          - 339446.126      -  43.2   60s
  6988  6194 339662.195   66    -          - 339446.126      -  41.3   65s
  9167  8149 339704.572   32   50          - 339446.126      -  41.1   70s
 10534  9430 339593.811   26   48          - 339446.126      -  41.0   75s
 11953 10241 340304.799   59    -          - 339446.126      -  40.3   80s
 13253 11484 339668.272   66    -          - 339446.126      -  40.0   85s
 14927 12787 340437.409   59    -          - 339446.126      -  39.8   90s
 16378 14150 339834.902   35   29          - 339446.126      -  39.9   95s
 17943 15546 339707.488   27   34          - 339446.126      -  40.7  100s
 18994 16463 339877.210   53    -          - 339446.126      -  40.8  105s
 20544 17799 339652.770   55    -          - 339446.126      -  41.3  110s
 22224 19194 339920.705   54    -          - 339446.126      -  41.6  115s
 23604 20606 339608.884   21   42          - 339446.126      -  41.9  120s
 24310 21191 339831.358   55    -          - 339446.126      -  41.8  125s
 25715 22270 339636.837   28   54          - 339446.126      -  42.1  130s
 26960 23438 339845.958   33   17          - 339446.126      -  42.2  135s
 28184 24672 339564.714   22   30          - 339446.126      -  42.3  140s
 29213 25548          -   57               - 339446.126      -  42.5  145s
 30715 26853 340434.714   65    -          - 339446.126      -  42.7  150s
H31159 26947                    341516.14336 339446.126  0.61%  42.7  152s
*59467 46883              44    340942.60837 339446.126  0.44%  53.4  407s
 59739 47198          -   53      340942.608 339446.126  0.44%  53.6  410s
 60426 47494 340751.782   54   33 340942.608 339446.126  0.44%  53.7  425s
 60942 48135 340768.772   51    - 340942.608 339446.126  0.44%  53.7  434s
 61085 48155 339765.077   54    - 340942.608 339446.126  0.44%  53.7  435s
 61458 48557 340109.413   62    - 340942.608 339446.126  0.44%  53.8  440s
 62283 49281     cutoff   59      340942.608 339446.126  0.44%  53.8  445s
 62814 49581 340065.203   46   30 340942.608 339446.126  0.44%  53.8  450s
 63690 50200 340138.238   36   45 340942.608 339446.126  0.44%  54.0  456s
 63989 50543 340568.671   44   33 340942.608 339446.126  0.44%  54.0  460s
 64947 51165     cutoff   59      340942.608 339446.126  0.44%  54.3  467s
 65401 51545 340357.078   30   22 340942.608 339446.126  0.44%  54.4  473s
 65864 51943 340546.611   82   12 340942.608 339446.126  0.44%  54.5  478s
 65965 51954 340312.998   73    - 340942.608 339446.126  0.44%  54.5  480s
 66940 52683 340037.064   26   46 340942.608 339446.126  0.44%  54.6  486s
 67450 53064 340191.323   73    - 340942.608 339446.126  0.44%  54.7  490s
 68264 53570          -   52      340942.608 339446.126  0.44%  54.6  495s
 68912 54197 340827.808   65    - 340942.608 339446.126  0.44%  54.8  500s
 69502 54538 340432.172   52    - 340942.608 339446.126  0.44%  55.0  505s
 70368 55341 339922.895   33   33 340942.608 339446.126  0.44%  55.0  510s
 70898 55436 340211.337   42   33 340942.608 339446.126  0.44%  55.0  522s
 70934 55786 340216.176   43   33 340942.608 339446.126  0.44%  55.0  525s
 71408 56178 340039.533   56   30 340942.608 339446.126  0.44%  55.1  531s
 71891 56531 340312.305   35   16 340942.608 339446.126  0.44%  55.1  535s
 72366 56866 339981.226   35   46 340942.608 339446.126  0.44%  55.2  541s
 72782 57216 340020.154   44   20 340942.608 339446.126  0.44%  55.2  546s
 73195 57527 340658.261   48   33 340942.608 339446.126  0.44%  55.2  551s
 73611 57810 340795.871   45    5 340942.608 339446.126  0.44%  55.3  556s
 74031 58115 340370.515   41   32 340942.608 339446.126  0.44%  55.3  561s
 74457 58451 340226.311   40   18 340942.608 339446.126  0.44%  55.4  566s
 75384 59213 340279.341   45   12 340942.608 339446.126  0.44%  55.5  571s
 75871 59518 339821.224   29   45 340942.608 339446.126  0.44%  55.5  575s
 76204 59549 340329.223   64   39 340942.608 339446.126  0.44%  55.6  858s
 76208 59845 340329.917   65   39 340942.608 339446.126  0.44%  55.6  860s
 76681 60134 340178.656   25   42 340942.608 339446.126  0.44%  55.6  868s
 77001 60461 340153.947   49   46 340942.608 339446.126  0.44%  55.7  873s
 77138 60479          -   55      340942.608 339446.126  0.44%  55.7  875s
 77439 60817 339935.467   52    - 340942.608 339446.126  0.44%  55.7  880s
 77943 61250 339940.922   33   33 340942.608 339446.126  0.44%  55.7  887s
 78481 61543 339790.723   34   43 340942.608 339446.126  0.44%  55.7  892s
 78794 61569 340672.730   49    - 340942.608 339446.126  0.44%  55.7  896s
 79361 62426 340253.424   34   33 340942.608 339446.126  0.44%  55.7  904s
 79415 62429          -   54      340942.608 339446.126  0.44%  55.7  905s
 79941 62710 340392.584   44   32 340942.608 339446.126  0.44%  55.7  911s
 80289 63098 340792.015   44   14 340942.608 339446.126  0.44%  55.7  915s
 80812 63482 339731.114   30   33 340942.608 339446.126  0.44%  55.8  920s
H80882 57222                    340585.97321 339446.126  0.33%  55.8  921s
*80882 57222              53    340585.97321 339446.126  0.33%  55.8  921s
 81309 57584 340010.629   42   40 340585.973 339446.126  0.33%  55.8  925s
 81850 57982 340244.954   40   33 340585.973 339446.126  0.33%  55.8  931s
 82371 58345 340458.370   38   14 340585.973 339446.126  0.33%  55.8  936s
 82880 58765 340140.806   50   19 340585.973 339446.126  0.33%  55.8  942s
 83314 58806 340493.345   51    - 340585.973 339446.126  0.33%  55.7  946s
 83580 59133 339649.622   52    - 340585.973 339446.126  0.33%  55.8  950s
 84072 59484 340369.576   89    - 340585.973 339446.126  0.33%  55.8  955s
 84500 59944 339867.898   39   13 340585.973 339446.126  0.33%  55.8  960s
 85036 60000 340514.320   52    - 340585.973 339446.126  0.33%  55.8  965s
 85561 60694 339982.662   67   29 340585.973 339446.126  0.33%  55.9  971s
 86133 60757 340551.234   50    - 340585.973 339446.126  0.33%  55.9  978s
 86179 61112 339815.954   38   46 340585.973 339446.126  0.33%  55.9  980s
 86731 61167          -   56      340585.973 339446.126  0.33%  55.9  985s
 86962 61487 339833.459   57    - 340585.973 339446.126  0.33%  55.9  990s
 87268 61866 339951.727   30   21 340585.973 339446.126  0.33%  55.9  995s
 87793 61917 340564.126   44    - 340585.973 339446.126  0.33%  55.9 1000s
 88470 62755 340224.327   53   30 340585.973 339446.126  0.33%  55.9 1008s
 88615 62772          -   56      340585.973 339446.126  0.33%  55.8 1010s
 89061 63252 339989.427   30   33 340585.973 339446.126  0.33%  55.8 1015s
 89665 63695 339636.052   33   32 340585.973 339446.126  0.33%  55.8 1021s
 90271 64158 339903.443   31   43 340585.973 339446.126  0.33%  55.7 1027s
 90854 64223 340447.953   46    - 340585.973 339446.126  0.33%  55.7 1033s
 90894 64472 339600.583   39   13 340585.973 339446.126  0.33%  55.7 1035s
 91411 64813 340365.308   39   35 340585.973 339446.126  0.33%  55.7 1041s
 91931 64849 339732.133   59    - 340585.973 339446.126  0.33%  55.7 1045s
 92400 65255          -   48      340585.973 339446.126  0.33%  55.7 1052s
 92506 65586 339972.665   46   47 340585.973 339446.126  0.33%  55.7 1055s
 93019 66012 339975.233   23   30 340585.973 339446.126  0.33%  55.7 1062s
 93272 66032 339958.810   54    - 340585.973 339446.126  0.33%  55.7 1065s
 93599 66407 340041.623   78    - 340585.973 339446.126  0.33%  55.7 1070s
 94089 66450 339791.108   60    - 340585.973 339446.126  0.33%  55.7 1075s
 94406 66744          -   46      340585.973 339446.126  0.33%  55.8 1080s
 94837 67210 340515.698   41    - 340585.973 339446.126  0.33%  56.0 1087s
 95031 67237 340283.179   45    - 340585.973 339446.126  0.33%  56.0 1090s
 95360 67646          -   45      340585.973 339446.126  0.33%  56.0 1095s
 95858 67984 339852.820   41   32 340585.973 339446.126  0.33%  56.0 1102s
 96365 68214 339830.918   37   33 340585.973 339446.126  0.33%  56.0 1109s
 96427 68222          -   57      340585.973 339446.126  0.33%  56.0 1110s
 97137 68633 340419.378   57    - 340585.973 339446.126  0.33%  56.1 1118s
 97205 69082 340063.671   41   39 340585.973 339446.126  0.33%  56.1 1120s
 97855 69446 340140.620   40   33 340585.973 339446.126  0.33%  56.0 1130s
 98329 69842 340172.945   35   34 340585.973 339446.126  0.33%  56.0 1137s
 98600 69865 340476.990   48    - 340585.973 339446.126  0.33%  56.0 1140s
 98902 70151 340255.674   40   33 340585.973 339446.126  0.33%  56.0 1145s
 99257 70589 340057.003   29   43 340585.973 339446.126  0.33%  56.0 1150s
 99680 70633 339825.804   45    - 340585.973 339446.126  0.33%  56.0 1155s
 100438 71531 340350.007   49   33 340585.973 339446.126  0.33%  56.0 1164s
 100487 71533 339919.008   61    - 340585.973 339446.126  0.33%  56.0 1165s
 101083 71816 339808.239   41   30 340585.973 339446.126  0.33%  55.9 1175s
 101527 72117 340018.609   32   33 340585.973 339446.126  0.33%  56.0 1182s
 101736 72140          -   46      340585.973 339446.126  0.33%  56.0 1185s
 101993 72394 339841.950   32   32 340585.973 339446.126  0.33%  56.1 1190s
 102435 72800 339776.694   26   42 340585.973 339446.126  0.33%  56.1 1196s
 102931 73104 340276.934   33   29 340585.973 339446.126  0.33%  56.1 1201s
 103457 73449 340547.124   47    - 340585.973 339446.126  0.33%  56.2 1207s
 103843 73472          -   48      340585.973 339446.126  0.33%  56.2 1210s
 104116 73953          -   47      340585.973 339446.126  0.33%  56.2 1215s
 104519 73988          -   53      340585.973 339446.126  0.33%  56.1 1220s
 104798 74261 339647.868   27   39 340585.973 339446.126  0.33%  56.2 1225s
 105161 74689          -   63      340585.973 339446.126  0.33%  56.2 1230s
 105685 75047 339862.487   47   33 340585.973 339446.126  0.33%  56.3 1236s
 106035 75079 340357.272   49    - 340585.973 339446.126  0.33%  56.3 1240s
 106194 75541 340147.613   45   14 340585.973 339446.126  0.33%  56.3 1245s
 106818 75982 340038.567   38   28 340585.973 339446.126  0.33%  56.3 1251s
 107411 76028 339930.473   65    - 340585.973 339446.126  0.33%  56.3 1256s
 107745 76479 339638.622   54    - 340585.973 339446.126  0.33%  56.2 1261s
 108049 76940 339891.563   38   33 340585.973 339446.126  0.33%  56.2 1266s
 108362 76977 340011.502   51    - 340585.973 339446.126  0.33%  56.2 1270s
 108917 77301 339663.850   61    - 340585.973 339446.126  0.33%  56.2 1275s
 109282 77645 340397.769   57    - 340585.973 339446.126  0.33%  56.2 1280s
 109752 78052 339894.973   32   32 340585.973 339446.126  0.33%  56.2 1287s
 110285 78096 339813.426   54    - 340585.973 339446.126  0.33%  56.2 1292s
 110333 78562 340533.867   53    - 340585.973 339446.126  0.33%  56.2 1295s
 110871 78616          -   49      340585.973 339446.126  0.33%  56.2 1301s
 110984 78990 340082.183   63    - 340585.973 339446.126  0.33%  56.2 1305s
 111396 79033 340255.661   52    - 340585.973 339446.126  0.33%  56.2 1310s
 111819 79320 340500.589   64    - 340585.973 339446.126  0.33%  56.2 1315s
 112113 79830 340156.830   49    - 340585.973 339446.126  0.33%  56.2 1320s
 112742 80185 340111.538   43   15 340585.973 339446.126  0.33%  56.2 1328s
 113223 80652 339816.893   34   32 340585.973 339446.126  0.33%  56.2 1333s
 113478 80674          -   50      340585.973 339446.126  0.33%  56.2 1336s
 113777 80701          -   49      340585.973 339446.126  0.33%  56.2 1341s
 114050 81038 340561.809   46    - 340585.973 339446.126  0.33%  56.2 1345s
 114439 81354 340403.795   56    - 340585.973 339446.126  0.33%  56.2 1350s
 114910 81770 339934.652   25   43 340585.973 339446.126  0.33%  56.2 1356s
 115444 82176 339820.021   51    4 340585.973 339446.126  0.33%  56.2 1362s
 115971 82521 340107.268   32   33 340585.973 339446.126  0.33%  56.2 1367s
 116326 82554          -   58      340585.973 339446.126  0.33%  56.2 1371s
 116988 83401 339756.054   36   33 340585.973 339446.126  0.33%  56.2 1379s
 117010 83403          -   55      340585.973 339446.126  0.33%  56.2 1380s
 117680 83720 340545.673   41    - 340585.973 339446.126  0.33%  56.2 1385s
 118035 84117 340317.955   53    - 340585.973 339446.126  0.33%  56.2 1390s
 118579 84502 339840.393   44   15 340585.973 339446.126  0.33%  56.2 1396s
 119092 84834 339707.723   22   30 340585.973 339446.126  0.33%  56.2 1401s
 119593 85102 340219.844   39   33 340585.973 339446.126  0.33%  56.2 1405s
 120003 85527 340278.780   51    - 340585.973 339446.126  0.33%  56.2 1410s
 120544 85879 339738.956   25   43 340585.973 339446.126  0.33%  56.2 1416s
 120991 86284 339956.858   49   27 340585.973 339446.126  0.33%  56.2 1422s
 121547 86527 340572.520   32   15 340585.973 339446.126  0.33%  56.2 1427s
 121929 86970     cutoff   45      340585.973 339446.126  0.33%  56.2 1431s
 122500 87319 339832.016   30   32 340585.973 339446.126  0.33%  56.2 1437s
 123012 87638 339809.216   25   44 340585.973 339446.126  0.33%  56.2 1442s
 123445 88088 340535.954   43   28 340585.973 339446.126  0.33%  56.2 1447s
 124054 88393 339954.581   62    1 340585.973 339446.126  0.33%  56.2 1454s
 124130 88401 340452.031   47    - 340585.973 339446.126  0.33%  56.2 1455s
 124470 88715 339941.106   29   32 340585.973 339446.126  0.33%  56.2 1460s
 124999 89094 339706.706   24   32 340585.973 339446.126  0.33%  56.2 1465s
 125512 89479 339846.505   32   32 340585.973 339446.126  0.33%  56.2 1471s
 126017 89889 340534.179   35    3 340585.973 339446.126  0.33%  56.2 1476s
 126504 89934          -   54      340585.973 339446.126  0.33%  56.1 1481s
 126920 90350          -   60      340585.973 339446.126  0.33%  56.1 1485s
 127238 90827          -   50      340585.973 339446.126  0.33%  56.1 1490s
 127707 91144          -   50      340585.973 339446.126  0.33%  56.1 1495s
 128179 91488 339705.033   32   42 340585.973 339446.126  0.33%  56.1 1500s
 128682 91872 339847.369   36   46 340585.973 339446.126  0.33%  56.1 1505s
 129304 92193          -   56      340585.973 339446.126  0.33%  56.2 1510s
 129627 92556     cutoff   35      340585.973 339446.126  0.33%  56.2 1515s
 130202 93042 340224.682   58    - 340585.973 339446.126  0.33%  56.2 1520s
 130783 93420 339756.613   35   34 340585.973 339446.126  0.33%  56.2 1525s
 131261 93739 340501.516   46   29 340585.973 339446.126  0.33%  56.2 1531s
 131745 94104 339731.211   28   42 340585.973 339446.126  0.33%  56.2 1535s
 132255 94552 340108.077   36   33 340585.973 339446.126  0.33%  56.2 1541s
 132853 95049 339795.611   42   32 340585.973 339446.126  0.33%  56.2 1547s
 133442 95509 340011.595   45   19 340585.973 339446.126  0.33%  56.1 1552s
 133659 95534          -   48      340585.973 339446.126  0.33%  56.1 1555s
 134127 95866          -   57      340585.973 339446.126  0.33%  56.1 1560s
 134507 96257 340048.069   37   33 340585.973 339446.126  0.33%  56.1 1565s
 135029 96679 340032.643   47   27 340585.973 339446.126  0.33%  56.1 1571s
 135617 96991 339859.097   50   25 340585.973 339446.126  0.33%  56.1 1577s
 136097 97353 340390.936   59    - 340585.973 339446.126  0.33%  56.1 1580s
 136697 97753 339747.149   58    - 340585.973 339446.126  0.33%  56.1 1585s
 137123 98166          -   58      340585.973 339446.126  0.33%  56.1 1590s
 137607 98496 340562.351   48    - 340585.973 339446.126  0.33%  56.1 1595s
 138073 98858 339874.434   28   34 340585.973 339446.126  0.33%  56.1 1600s
 138597 98926          -   48      340585.973 339446.126  0.33%  56.1 1605s
 139125 99612 339856.639   35   32 340585.973 339446.126  0.33%  56.1 1612s
 139698 99957 339707.039   32   32 340585.973 339446.126  0.33%  56.1 1617s
 140115 99988          -   57      340585.973 339446.126  0.33%  56.1 1620s
 140673 100645 340100.220   46   33 340585.973 339446.126  0.33%  56.1 1625s
 141100 101003 340557.596   59    - 340585.973 339446.126  0.33%  56.1 1631s
 141591 101375 340212.880   63   27 340585.973 339446.126  0.33%  56.1 1635s
 142061 101601 339859.092   28   43 340585.973 339446.126  0.33%  56.1 1640s
 142419 101980 340260.120   53    - 340585.973 339446.126  0.33%  56.1 1645s
 142908 102332 339922.447   28   43 340585.973 339446.126  0.33%  56.1 1651s
 143274 102360          -   77      340585.973 339446.126  0.33%  56.1 1655s
 143398 102605 339787.375   26   43 340585.973 339446.126  0.33%  56.1 1660s
 143756 103054 340213.941   48    - 340585.973 339446.126  0.33%  56.1 1665s
 144326 103379 339864.620   37   33 340585.973 339446.126  0.33%  56.0 1670s
 144801 103654     cutoff   36      340585.973 339446.126  0.33%  56.1 1675s
 145197 103983          -   45      340585.973 339446.126  0.33%  56.1 1680s
 145586 104358 340231.339   41   12 340585.973 339446.126  0.33%  56.1 1685s
 145994 104397          -   57      340585.973 339446.126  0.33%  56.1 1690s
 146466 104995 339927.730   28   43 340585.973 339446.126  0.33%  56.1 1697s
 147006 105326 340291.323   46   32 340585.973 339446.126  0.33%  56.1 1702s
 147131 105342          -   49      340585.973 339446.126  0.33%  56.1 1705s
 147488 105628          -   54      340585.973 339446.126  0.33%  56.1 1710s
 147922 105979 339706.527   32   28 340585.973 339446.126  0.33%  56.1 1718s
 148433 106354          -   62      340585.973 339446.126  0.33%  56.1 1723s
 148925 106400          -   71      340585.973 339446.126  0.33%  56.1 1725s
 149349 107070 339829.077   38   28 340585.973 339446.126  0.33%  56.1 1732s
 149831 107403 340413.242   33   29 340585.973 339446.126  0.33%  56.1 1738s
 150047 107423 340316.618   63    - 340585.973 339446.126  0.33%  56.1 1740s
 150376 107806 339813.411   28   29 340585.973 339446.126  0.33%  56.1 1745s
 150899 108167 340189.448   57    - 340585.973 339446.126  0.33%  56.1 1751s
 151384 108566 340221.226   33   29 340585.973 339446.126  0.33%  56.1 1755s
 151912 108948 339818.353   30   28 340585.973 339446.126  0.33%  56.0 1761s
 152405 109272     cutoff   38      340585.973 339446.126  0.33%  56.1 1766s
 152856 109301 340398.046   56    - 340585.973 339446.126  0.33%  56.1 1770s
 153389 110064 340279.549   45   27 340585.973 339446.126  0.33%  56.1 1778s
